Polymer Index,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,Number of blocks,dpn,Target,NMR,GPC,Dispersity,MIC_PAO1,MIC_SA,MIC_PAO1_PA,cLogP_predicted
1,0.50,0.30,0.00,0.20,ABC,1,100,18500,9000,18357,1.14,32-64,256,32-64,0.6763
2,0.50,0.30,0.00,0.20,ABC,1,40,7500,6300,9900,1.13,64,256,64,0.6763
3,0.50,0.30,0.00,0.20,ABC,1,20,3900,3700,6700,1.15,64,128,64,0.6763
4,0.70,0.30,0.00,0.00,AB,1,100,20500,17900,19100,1.11,128,>256,128,1.0527
5,0.70,0.30,0.00,0.00,AB,1,40,8300,6100,9400,1.19,64,256,64,1.0527
6,0.70,0.30,0.00,0.00,AB,1,20,4300,3900,5800,1.20,64-128,64,64-128,1.0527
7,0.50,0.30,0.00,0.20,(A50C20)(B30),2,100,18500,15200,18500,1.11,>256,256,>256,0.6763
8,0.50,0.30,0.00,0.20,(A20C8)(B12),2,40,7500,8300,12100,1.09,>256,>256,>256,0.6763
9,0.50,0.30,0.00,0.20,(A10C4)(B6),2,20,3900,3700,7100,1.10,>256,>256,>256,0.6763
10,0.50,0.30,0.00,0.20,(A25C10)(B30)(A25C10),3,100,18500,16300,22200,1.17,>256,>256,>256,0.6763
11,0.50,0.30,0.00,0.20,(B15)(A50C20)(B15),3,100,18500,10500,26200,1.18,>256,>256,>256,0.6763
13,0.70,0.30,0.00,0.00,(A28)(B12),2,40,8300,8300,10000,1.16,>256,>256,>256,1.0527
14,0.70,0.30,0.00,0.00,(A14)(B6),2,20,4300,4100,5700,1.17,>256,128,>256,1.0527
15,0.50,0.30,0.00,0.20,(A50)(B30C20),2,100,18500,10100,29100,1.12,>256,>256,>256,0.6763
16,0.50,0.30,0.00,0.20,(A20)(B12C8),2,40,7500,6500,12000,1.15,64,>256,64,0.6763
17,0.50,0.30,0.00,0.20,(A10)(B6C4),2,20,3900,3600,6500,1.12,32-64,>256,32-64,0.6763
18,0.50,0.30,0.00,0.20,(A10)(B12C8)(A10),3,40,7500,6300,11200,1.19,32-64,>256,32-64,0.6763
19,0.50,0.30,0.00,0.20,(B6C4)(A20)(B6C4),3,40,7500,6500,11000,1.23,64,>256,64,0.6763
20,0.50,0.30,0.00,0.20,(A12.5)(B7.5C5)(A12.5)(B7.5C5),4,50,9400,7700,14300,1.13,64,>256,64,0.6763
21,0.50,0.30,0.00,0.20,(A12.5)(B7.5C5)(A12.5)(B7.5C5),4,50,18500,10300,27200,1.14,128-256,>256,128-256,0.6763
22,0.50,0.30,0.00,0.20,(A50B30)(C20),2,100,18500,13400,21800,1.21,64,>256,64,0.6763
23,0.50,0.30,0.00,0.20,(A20B12)(C8),2,40,7500,7200,10400,1.15,32,>256,32,0.6763
24,0.50,0.30,0.00,0.20,(A10B6)(C4),2,20,3900,3900,5900,1.13,32,128,32,0.6763
25,0.50,0.30,0.00,0.20,(A50C12.5)(B30C7.5),2,100,18500,12100,20300,1.12,>256,>256,>256,0.6763
26,0.50,0.30,0.00,0.20,(A20C5)(B12C3),2,40,7500,6600,11100,1.09,>256,>256,>256,0.6763
27,0.50,0.30,0.00,0.20,(A10C2.5)(B6C1.5),2,20,3900,3900,6400,1.13,>256,256,>256,0.6763
28,0.50,0.30,0.00,0.20,(A20)(B12)(C8),3,40,7500,6300,12100,1.12,64,>256,64,0.6763
29,0.50,0.30,0.00,0.20,(A20)(C8)(B12),3,40,7500,6300,12200,1.12,>256,>256,>256,0.6763
30,0.50,0.30,0.00,0.20,(C8)(A20)(B12),3,40,7500,7400,10800,1.15,>256,>256,>256,0.6763
31,0.50,0.15,0.00,0.35,ABC,1,40,7200,7000,11300,1.09,128-256,>256,128-256,0.2952
32,0.50,0.15,0.00,0.35,(A20)(B6C14),2,40,7200,6200,11300,1.09,64,>256,64,0.2952
42,1.00,0.00,0.00,0.00,ABC,1,40,8809,6900,11900,1.08,>128,>128,>128,0.8550
43,0.70,0.00,0.00,0.30,ABC,1,40,7620,6900,12600,1.08,>128,>128,>128,0.2904
44,0.70,0.10,0.00,0.20,ABC,1,40,7860,6900,13700,1.1,>128,>128,>128,0.5445
45,0.70,0.07,0.03,0.20,ABC,1,40,7776,7000,12600,1.11,>128,>128,>128,0.5067
