Polymer Index,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,Number of blocks,dpn,Target,NMR,GPC,Dispersity,MIC_PAO1,MIC_SA,MIC_PAO1_PA,cLogP_predicted,composition_entropy,block_entropy,sequence_entropy,randomness_score
1,0.5,0.3,0.0,0.2,ABC,1,100,18500,9000,18357,1.14,45.254833995939045,256.0,45.254833995939045,0.6763,1.4854752972273344,0.0,1.4854752972273344,1.4854752972273344
2,0.5,0.3,0.0,0.2,ABC,1,40,7500,6300,9900,1.13,64.0,256.0,64.0,0.6763,1.4854752972273344,0.0,1.4854752972273344,1.4854752972273344
3,0.5,0.3,0.0,0.2,ABC,1,20,3900,3700,6700,1.15,64.0,128.0,64.0,0.6763,1.4854752972273344,0.0,1.4854752972273344,1.4854752972273344
4,0.7,0.3,0.0,0.0,AB,1,100,20500,17900,19100,1.11,128.0,256.0,128.0,1.0527,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
5,0.7,0.3,0.0,0.0,AB,1,40,8300,6100,9400,1.19,64.0,256.0,64.0,1.0527,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
6,0.7,0.3,0.0,0.0,AB,1,20,4300,3900,5800,1.2,90.50966799187809,64.0,90.50966799187809,1.0527,0.8812908992306927,0.0,0.8812908992306927,0.8812908992306927
7,0.5,0.3,0.0,0.2,(A50C20)(B30),2,100,18500,15200,18500,1.11,256.0,256.0,256.0,0.6763,1.4854752972273344,0.8812908992306927,0.5871489664484913,0.9630603734213403
8,0.5,0.3,0.0,0.2,(A20C8)(B12),2,40,7500,8300,12100,1.09,256.0,256.0,256.0,0.6763,1.4854752972273344,0.8812908992306927,0.5871489664484913,0.9630603734213403
9,0.5,0.3,0.0,0.2,(A10C4)(B6),2,20,3900,3700,7100,1.1,256.0,256.0,256.0,0.6763,1.4854752972273344,0.8812908992306927,0.5871489664484913,0.9630603734213403
10,0.5,0.3,0.0,0.2,(A25C10)(B30)(A25C10),3,100,18500,16300,22200,1.17,256.0,256.0,256.0,0.6763,1.4854752972273344,1.5812908992306927,0.6869630032016961,1.0222553988193424
11,0.5,0.3,0.0,0.2,(B15)(A50C20)(B15),3,100,18500,10500,26200,1.18,256.0,256.0,256.0,0.6763,1.4854752972273344,1.1812908992306925,0.5910607178054038,0.888922065486009
13,0.7,0.3,0.0,0.0,(A28)(B12),2,40,8300,8300,10000,1.16,256.0,256.0,256.0,1.0527,0.8812908992306927,0.8812908992306927,0.22032272480767318,0.6609681744230196
14,0.7,0.3,0.0,0.0,(A14)(B6),2,20,4300,4100,5700,1.17,256.0,128.0,256.0,1.0527,0.8812908992306927,0.8812908992306927,0.22032272480767318,0.6609681744230196
15,0.5,0.3,0.0,0.2,(A50)(B30C20),2,100,18500,10100,29100,1.12,256.0,256.0,256.0,0.6763,1.4854752972273344,1.0,0.6141064729205008,0.9927376486136672
16,0.5,0.3,0.0,0.2,(A20)(B12C8),2,40,7500,6500,12000,1.15,64.0,256.0,64.0,0.6763,1.4854752972273344,1.0,0.6141064729205008,0.9927376486136672
