Experiment,Model,Features,Target,RMSE,MAE,R2
E1_nn_composition_MIC_PAO1,nn,composition,MIC_PAO1,52.32,38.29,-0.052
E2_xgboost_composition_MIC_PAO1,xgboost,composition,MIC_PAO1,43.76,21.66,0.264
E3_ridge_composition_MIC_PAO1,ridge,composition,MIC_PAO1,45.53,28.19,0.203
E4_nn_entropy_MIC_PAO1,nn,entropy,MIC_PAO1,43.89,29.15,0.260
E5_xgboost_entropy_MIC_PAO1,xgboost,entropy,MIC_PAO1,51.24,27.10,-0.009
E6_ridge_entropy_MIC_PAO1,ridge,entropy,MIC_PAO1,44.05,25.88,0.254
E7_nn_combined_MIC_PAO1,nn,combined,MIC_PAO1,49.69,34.17,0.051
E8_xgboost_combined_MIC_PAO1,xgboost,combined,MIC_PAO1,55.88,20.79,-0.200
E9_ridge_combined_MIC_PAO1,ridge,combined,MIC_PAO1,41.50,25.96,0.338
E10_nn_composition_MIC_SA,nn,composition,MIC_SA,43.16,32.07,0.470
E11_xgboost_composition_MIC_SA,xgboost,composition,MIC_SA,40.35,25.42,0.537
E12_ridge_composition_MIC_SA,ridge,composition,MIC_SA,36.46,25.59,0.622
E13_nn_entropy_MIC_SA,nn,entropy,MIC_SA,56.15,42.77,0.103
E14_xgboost_entropy_MIC_SA,xgboost,entropy,MIC_SA,38.66,26.25,0.575
E15_ridge_entropy_MIC_SA,ridge,entropy,MIC_SA,31.37,20.12,0.720
E16_nn_combined_MIC_SA,nn,combined,MIC_SA,40.40,30.03,0.536
E17_xgboost_combined_MIC_SA,xgboost,combined,MIC_SA,35.15,23.47,0.648
E18_ridge_combined_MIC_SA,ridge,combined,MIC_SA,29.36,20.46,0.755
E19_nn_composition_MIC_PAO1_PA,nn,composition,MIC_PAO1_PA,48.80,35.38,0.085
E20_xgboost_composition_MIC_PAO1_PA,xgboost,composition,MIC_PAO1_PA,51.30,25.63,-0.012
E21_ridge_composition_MIC_PAO1_PA,ridge,composition,MIC_PAO1_PA,47.58,29.77,0.130
E22_nn_entropy_MIC_PAO1_PA,nn,entropy,MIC_PAO1_PA,43.80,29.82,0.263
E23_xgboost_entropy_MIC_PAO1_PA,xgboost,entropy,MIC_PAO1_PA,47.28,20.97,0.141
E24_ridge_entropy_MIC_PAO1_PA,ridge,entropy,MIC_PAO1_PA,39.82,25.44,0.391
E25_nn_combined_MIC_PAO1_PA,nn,combined,MIC_PAO1_PA,52.53,38.46,-0.060
E26_xgboost_combined_MIC_PAO1_PA,xgboost,combined,MIC_PAO1_PA,54.79,23.42,-0.154
E27_ridge_combined_MIC_PAO1_PA,ridge,combined,MIC_PAO1_PA,43.39,25.59,0.276
